count	doc_pk	filename	pk	title	nb_of_ocr_lines	best_GT_1_id	best_GT_1_aligned_lines_count	best_GT_2_id	best_GT_2_aligned_lines_count	best_GT_3_id	best_GT_3_aligned_lines_count	MT_NoVoc_concatenated.txt	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	Siddur_Ashkenaz_clean_concatenated.txt	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt
1	4381	IE61220167_00084.xml	734742	Element 8	19	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	12	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	9	Siddur_Ashkenaz_clean_concatenated.txt	8	0	9	12	8	8
2	4381	IE87234800_00004.xml	734751	Element 17	22	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	17	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	17	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	16	8	17	17	0	16
3	4381	IE87234800_00005.xml	734752	Element 18	22	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	22	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	21	0	22	22	17	21
4	4381	IE87297122_00014.xml	734753	Element 19	25	MT_NoVoc_concatenated.txt	2	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	2	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	2	2	2	2	0	2
5	4381	IE87363222_00008.xml	734754	Element 20	25	MT_NoVoc_concatenated.txt	13	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	13	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	13	13	13	13	12	10
6	4381	IE87447950_00011.xml	734755	Element 21	22	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	13	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	12	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	10	0	12	13	0	10
7	4381	IE87447950_00015.xml	734756	Element 22	31	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	22	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	22	MT_NoVoc_concatenated.txt	13	13	22	22	9	13
8	4381	IE87447950_00018.xml	734757	Element 23	28	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	20	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	20	Siddur_Ashkenaz_clean_concatenated.txt	20	0	20	20	20	17
9	4381	IE87474895_00014.xml	734758	Element 24	22	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	4	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	4	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	3	0	4	3	0	4
10	4381	IE87474895_00044.xml	734759	Element 25	27	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	27	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	27	Siddur_Ashkenaz_clean_concatenated.txt	25	0	27	27	25	15
