id	filename	ocr_lines_in_part	MT_NoVoc_concatenated.txt	Siddur_Ashkenaz_clean_concatenated.txt	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt
1	IE103336373_00043.xml	48	6	6	6	4	4
2	IE103402206_00010.xml	11	11				
3	IE103402206_00014.xml	19	9				
4	IE103409244_00025.xml	28	14				
5	IE108110062_00015.xml	84	3				
6	IE21442926_00014.xml	66	23				
7	IE36628376_00046.xml	40	14				
8	IE61220167_00083.xml	19	2			5	
9	IE61220167_00084.xml	19		8	8	9	9
10	IE61220167_00097.xml	19	3	5		5	
11	IE87234800_00003.xml	22	3		1		
12	IE87234800_00004.xml	22	6		8	8	8
13	IE87234800_00005.xml	22		9	12	22	22
14	IE87297122_00014.xml	25	2		2	2	2
15	IE87363222_00008.xml	25	14	14	12	10	10
16	IE87447950_00011.xml	22			6	6	6
17	IE87447950_00015.xml	31	10	8	6	8	7
18	IE87447950_00018.xml	28		17	17	17	17
19	IE87474895_00014.xml	22			4	2	4
20	IE87474895_00044.xml	27		17	10	27	27
21	IE87476216_00051.xml	23	18	4	4		
22	IE87502633_00018.xml	23			5	5	5
23	IE87502633_00044.xml	23	18	8	17	17	17
24	IE87508468_00031.xml	18	14	12	12		
25	IE87519524_00013.xml	23	3	10	10	3	
26	IE87532920_00026.xml	24	24	14	6	16	13
27	IE87555665_00021.xml	14		6	6		
28	IE87580382_00008.xml	30	3		5		5
29	IE87580382_00041.xml	22		13	13	13	13
30	IE87581919_00011.xml	23		3	3		
31	IE87581919_00016.xml	23	10	19	19	19	19
32	IE87581919_00018.xml	23	3	4	5	4	5
33	IE87582245_00015.xml	24	23	23	23	23	23
34	IE87610546_00015.xml	17	4	2	5	5	5
35	IE87675634_00007.xml	26	3	3	3		
36	IE87675634_00010.xml	30		4	4	3	
37	IE87690674_00007.xml	20		10	10	3	1
38	IE87694978_00020.xml	26		17	17		
39	IE87700963_00014.xml	14	2	7	7	2	
40	IE87705971_00006.xml	19			12	10	10
41	IE87705976_00034.xml	18			3	5	5
42	IE87705976_00036.xml	20	5	6	4	6	6
43	IE87708411_00019.xml	22		4	5	2	2
44	IE87708411_00021.xml	22	9	22	13	22	22
45	IE87716931_00014.xml	21		11	10	5	2
46	IE87717323_00012.xml	24	8	9	9	9	4
47	IE87719995_00046.xml	30		8	8	8	8
48	IE87719995_00053.xml	28	7	15	15	8	8
49	IE87726132_00023.xml	22	22	12	7	12	12
50	IE87733114_00006.xml	24	9	10	10		1
51	IE87733114_00007.xml	27	5	6	6		1
52	IE87733114_00008.xml	24		23	23		
53	IE87739615_00009.xml	28	2	6	7	2	
54	IE87744435_00015.xml	29	10		7		11
55	IE87744435_00039.xml	29	14	19	18	18	18
56	IE87752740_00019.xml	11		11	4	11	11
57	IE87752740_00022.xml	13		13	13	7	13
58	IE87752740_00038.xml	13			8	13	
59	IE87755510_00024.xml	18		16	16	12	12
