id	filename	doc_pk	part_pk	title	ocr_lines_in_part	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	MT_NoVoc_concatenated.txt	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	Siddur_Ashkenaz_clean_concatenated.txt
1	IE103336373_00043.xml	4381	775261	Element 65	48	16	16	16	16	16
2	IE103402206_00010.xml	4381	734735	Element 1	11		11			
3	IE103402206_00014.xml	4381	734736	Element 2	19		9			
4	IE103409244_00025.xml	4381	734737	Element 3	28		27			
5	IE108110062_00015.xml	4381	775262	Element 66	84		6			
6	IE21442926_00014.xml	4381	775263	Element 67	66		61			
7	IE36628376_00046.xml	4381	775264	Element 68	40		14			
8	IE61220167_00083.xml	4381	734741	Element 7	19		4	6		
9	IE61220167_00084.xml	4381	734742	Element 8	19	9		12	8	8
10	IE61220167_00097.xml	4381	734743	Element 9	19		8	7		7
11	IE87234800_00003.xml	4381	734750	Element 16	22		3		1	
12	IE87234800_00004.xml	4381	734751	Element 17	22	17	8	17	16	
13	IE87234800_00005.xml	4381	734752	Element 18	22	22		22	21	17
14	IE87297122_00014.xml	4381	734753	Element 19	25	2	2	2	2	
15	IE87363222_00008.xml	4381	734754	Element 20	25	13	14	13	12	14
16	IE87447950_00011.xml	4381	734755	Element 21	22	12		13	10	
17	IE87447950_00015.xml	4381	734756	Element 22	31	22	13	23	15	10
18	IE87447950_00018.xml	4381	734757	Element 23	28	20		20	17	20
19	IE87474895_00014.xml	4381	734758	Element 24	22	4		3	4	
20	IE87474895_00044.xml	4381	734759	Element 25	27	27		27	15	25
21	IE87476216_00051.xml	4381	734760	Element 26	23		21		4	4
22	IE87502633_00018.xml	4381	734761	Element 27	23	10		11	11	
23	IE87502633_00044.xml	4381	734762	Element 28	23	20	21	20	20	19
24	IE87508468_00031.xml	4381	734763	Element 29	18		14		12	12
25	IE87519524_00013.xml	4381	734764	Element 30	23		3	3	19	20
26	IE87532920_00026.xml	4381	734765	Element 31	24	15	24	16	14	15
27	IE87555665_00021.xml	4381	734766	Element 32	14				6	6
28	IE87580382_00008.xml	4381	734767	Element 33	30	5	3		7	
29	IE87580382_00041.xml	4381	734768	Element 34	22	20		13	13	13
30	IE87581919_00011.xml	4381	734769	Element 35	23				3	3
31	IE87581919_00016.xml	4381	734770	Element 36	23	19	18	20	19	20
32	IE87581919_00018.xml	4381	734771	Element 37	23	12	6	10	9	5
33	IE87582245_00015.xml	4381	734772	Element 38	24	23	23	23	23	23
34	IE87610546_00015.xml	4381	734773	Element 39	17	6	4	6	6	2
35	IE87675634_00007.xml	4381	734774	Element 40	26		4		3	3
36	IE87675634_00010.xml	4381	734775	Element 41	30			4	8	8
37	IE87690674_00007.xml	4381	734776	Element 42	20	1		4	12	10
38	IE87694978_00020.xml	4381	734777	Element 43	26				23	23
39	IE87700963_00014.xml	4381	734778	Element 44	14		2	2	11	11
40	IE87705971_00006.xml	4381	734779	Element 45	19	11		10	12	
41	IE87705976_00034.xml	4381	734780	Element 46	18	9		9	7	
42	IE87705976_00036.xml	4381	734781	Element 47	20	11	10	11	5	11
43	IE87708411_00019.xml	4381	734782	Element 48	22	10		9	13	6
44	IE87708411_00021.xml	4381	734783	Element 49	22	22	17	22	21	22
45	IE87716931_00014.xml	4381	734784	Element 50	21	6		8	14	15
46	IE87717323_00012.xml	4381	734785	Element 51	24	6	22	9	9	9
47	IE87719995_00046.xml	4381	734786	Element 52	30	8		8	10	11
48	IE87719995_00053.xml	4381	734787	Element 53	28	8	12	8	22	22
49	IE87726132_00023.xml	4381	734788	Element 54	22	14	22	14	12	13
50	IE87733114_00006.xml	4381	734789	Element 55	24	1	12		19	19
51	IE87733114_00007.xml	4381	734790	Element 56	27	1	9		8	8
52	IE87733114_00008.xml	4381	734791	Element 57	24				23	23
53	IE87739615_00009.xml	4381	734792	Element 58	28		2	2	12	11
54	IE87744435_00015.xml	4381	734793	Element 59	29	21	15		10	
55	IE87744435_00039.xml	4381	734794	Element 60	29	21	20	21	21	19
56	IE87752740_00019.xml	4381	734795	Element 61	11	11		11	9	11
57	IE87752740_00022.xml	4381	734796	Element 62	13	13		12	13	13
58	IE87752740_00038.xml	4381	734797	Element 63	13			13	10	
59	IE87755510_00024.xml	4381	734798	Element 64	18	15		15	16	16
