id	filename	ocr_lines_in_part	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	Siddur_Ashkenaz_clean_concatenated.txt	MT_NoVoc_concatenated.txt
1	IE103336373_00043.xml	48	16	16	16	16	16
2	IE103402206_00010.xml	11					11
3	IE103402206_00014.xml	19					9
4	IE103409244_00025.xml	28					27
5	IE108110062_00015.xml	84					6
6	IE21442926_00014.xml	66					61
7	IE36628376_00046.xml	40					14
8	IE61220167_00083.xml	19	6				4
9	IE61220167_00084.xml	19	12	8	9	8	
10	IE61220167_00097.xml	19	7			7	8
11	IE87234800_00003.xml	22		1			3
12	IE87234800_00004.xml	22	17	16	17		8
13	IE87234800_00005.xml	22	22	21	22	17	
14	IE87297122_00014.xml	25	2	2	2		2
15	IE87363222_00008.xml	25	13	12	13	14	14
16	IE87447950_00011.xml	22	13	10	12		
17	IE87447950_00015.xml	31	23	15	22	10	13
18	IE87447950_00018.xml	28	20	17	20	20	
19	IE87474895_00014.xml	22	3	4	4		
20	IE87474895_00044.xml	27	27	15	27	25	
21	IE87476216_00051.xml	23		4		4	21
22	IE87502633_00018.xml	23	11	11	10		
23	IE87502633_00044.xml	23	20	20	20	19	21
24	IE87508468_00031.xml	18		12		12	14
25	IE87519524_00013.xml	23	3	19		20	3
26	IE87532920_00026.xml	24	16	14	15	15	24
27	IE87555665_00021.xml	14		6		6	
28	IE87580382_00008.xml	30		7	5		3
29	IE87580382_00041.xml	22	13	13	20	13	
30	IE87581919_00011.xml	23		3		3	
31	IE87581919_00016.xml	23	20	19	19	20	18
32	IE87581919_00018.xml	23	10	9	12	5	6
33	IE87582245_00015.xml	24	23	23	23	23	23
34	IE87610546_00015.xml	17	6	6	6	2	4
35	IE87675634_00007.xml	26		3		3	4
36	IE87675634_00010.xml	30	4	8		8	
37	IE87690674_00007.xml	20	4	12	1	10	
38	IE87694978_00020.xml	26		23		23	
39	IE87700963_00014.xml	14	2	11		11	2
40	IE87705971_00006.xml	19	10	12	11		
41	IE87705976_00034.xml	18	9	7	9		
42	IE87705976_00036.xml	20	11	5	11	11	10
43	IE87708411_00019.xml	22	9	13	10	6	
44	IE87708411_00021.xml	22	22	21	22	22	17
45	IE87716931_00014.xml	21	8	14	6	15	
46	IE87717323_00012.xml	24	9	9	6	9	22
47	IE87719995_00046.xml	30	8	10	8	11	
48	IE87719995_00053.xml	28	8	22	8	22	12
49	IE87726132_00023.xml	22	14	12	14	13	22
50	IE87733114_00006.xml	24		19	1	19	12
51	IE87733114_00007.xml	27		8	1	8	9
52	IE87733114_00008.xml	24		23		23	
53	IE87739615_00009.xml	28	2	12		11	2
54	IE87744435_00015.xml	29		10	21		15
55	IE87744435_00039.xml	29	21	21	21	19	20
56	IE87752740_00019.xml	11	11	9	11	11	
57	IE87752740_00022.xml	13	12	13	13	13	
58	IE87752740_00038.xml	13	13	10			
59	IE87755510_00024.xml	18	15	16	15	16	
