id	filename	ocr_lines_in_part	Top1_GT_id	max_aligned_clusters_size_1	Top2_GT_id	max_aligned_clusters_size_2	Top3_GT_id	max_aligned_clusters_size_3	Top4_GT_id	max_aligned_clusters_size_4	Top5_GT_id	max_aligned_clusters_size_5
1	IE87755510_00024.xml	18	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	16	Siddur_Ashkenaz_clean_concatenated.txt	16	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	12	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	12		
2	IE87733114_00008.xml	24	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	23	Siddur_Ashkenaz_clean_concatenated.txt	23						
3	IE87555665_00021.xml	14	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6	Siddur_Ashkenaz_clean_concatenated.txt	6						
4	IE87705976_00034.xml	18	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	5	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	5	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	3				
5	IE87733114_00006.xml	24	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	10	Siddur_Ashkenaz_clean_concatenated.txt	10	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	9	MT_NoVoc_concatenated.txt	1		
6	IE87502633_00018.xml	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	5	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	5	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	5				
7	IE87744435_00015.xml	29	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	11	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	10	MT_NoVoc_concatenated.txt	7				
8	IE87719995_00053.xml	28	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	15	Siddur_Ashkenaz_clean_concatenated.txt	15	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	8	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	8	MT_NoVoc_concatenated.txt	7
9	IE103402206_00010.xml	11	MT_NoVoc_concatenated.txt	11								
10	IE103336373_00043.xml	48	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6	Siddur_Ashkenaz_clean_concatenated.txt	6	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	6	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	4	MT_NoVoc_concatenated.txt	4
11	IE87476216_00051.xml	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	18	Siddur_Ashkenaz_clean_concatenated.txt	4	MT_NoVoc_concatenated.txt	4				
12	IE87234800_00003.xml	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	3	MT_NoVoc_concatenated.txt	1						
13	IE87508468_00031.xml	18	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	14	Siddur_Ashkenaz_clean_concatenated.txt	12	MT_NoVoc_concatenated.txt	12				
14	IE87690674_00007.xml	20	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	10	Siddur_Ashkenaz_clean_concatenated.txt	10	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	3	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	1		
15	IE87447950_00018.xml	28	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	17	Siddur_Ashkenaz_clean_concatenated.txt	17	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	17	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	17		
16	IE87719995_00046.xml	30	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	8	Siddur_Ashkenaz_clean_concatenated.txt	8	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	8	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	8		
17	IE61220167_00097.xml	19	Siddur_Ashkenaz_clean_concatenated.txt	5	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	5	MT_NoVoc_concatenated.txt	3				
18	IE87532920_00026.xml	24	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	24	Siddur_Ashkenaz_clean_concatenated.txt	16	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	14	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	13	MT_NoVoc_concatenated.txt	6
