id	filename	ocr_lines_in_part	Top1_GT_id	total_aligned_lines_1	Top2_GT_id	total_aligned_lines_2	Top3_GT_id	total_aligned_lines_3	Top4_GT_id	total_aligned_lines_4	Top5_GT_id	total_aligned_lines_5
1	IE87733114_00007.xml	27	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	9	Siddur_Ashkenaz_clean_concatenated.txt	8	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	8	MT_NoVoc_concatenated.txt	1		
2	IE87705976_00034.xml	18	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	9	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	9	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	7				
3	IE87363222_00008.xml	25	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	14	Siddur_Ashkenaz_clean_concatenated.txt	14	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	13	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	13	MT_NoVoc_concatenated.txt	12
4	IE87474895_00014.xml	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	4	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	4	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	3				
5	IE87581919_00016.xml	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	20	Siddur_Ashkenaz_clean_concatenated.txt	20	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	19	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	19	MT_NoVoc_concatenated.txt	18
6	IE87755510_00024.xml	18	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	16	Siddur_Ashkenaz_clean_concatenated.txt	16	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	15	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	15		
7	IE87447950_00011.xml	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	13	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	12	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	10				
8	IE87675634_00007.xml	26	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	4	Siddur_Ashkenaz_clean_concatenated.txt	3	MT_NoVoc_concatenated.txt	3				
9	IE87705976_00036.xml	20	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	11	Siddur_Ashkenaz_clean_concatenated.txt	11	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	11	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	10	MT_NoVoc_concatenated.txt	5
10	IE36628376_00046.xml	40	MT_NoVoc_concatenated.txt	14								
11	IE87744435_00039.xml	29	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	21	Siddur_Ashkenaz_clean_concatenated.txt	21	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	21	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	20	MT_NoVoc_concatenated.txt	19
12	IE87447950_00018.xml	28	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	20	Siddur_Ashkenaz_clean_concatenated.txt	20	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	20	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	17		
13	IE87519524_00013.xml	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	20	Siddur_Ashkenaz_clean_concatenated.txt	19	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	3	MT_NoVoc_concatenated.txt	3		
14	IE87474895_00044.xml	27	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	27	Siddur_Ashkenaz_clean_concatenated.txt	27	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	25	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	15		
15	IE87719995_00046.xml	30	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	11	Siddur_Ashkenaz_clean_concatenated.txt	10	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	8	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	8		
16	IE61220167_00097.xml	19	Siddur_Ashkenaz_clean_concatenated.txt	8	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	7	MT_NoVoc_concatenated.txt	7				
17	IE87234800_00004.xml	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	17	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	17	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	16	MT_NoVoc_concatenated.txt	8		
18	IE87581919_00018.xml	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	12	Siddur_Ashkenaz_clean_concatenated.txt	10	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	9	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	6	MT_NoVoc_concatenated.txt	5
19	IE103402206_00014.xml	19	MT_NoVoc_concatenated.txt	9								
20	IE87716931_00014.xml	21	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	15	Siddur_Ashkenaz_clean_concatenated.txt	14	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	8	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	6		
21	IE87582245_00015.xml	24	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	23	Siddur_Ashkenaz_clean_concatenated.txt	23	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	23	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	23	MT_NoVoc_concatenated.txt	23
22	IE103409244_00025.xml	28	MT_NoVoc_concatenated.txt	27								
23	IE87717323_00012.xml	24	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22	Siddur_Ashkenaz_clean_concatenated.txt	9	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	9	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	9	MT_NoVoc_concatenated.txt	6
24	IE87580382_00008.xml	30	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	7	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	5	MT_NoVoc_concatenated.txt	3				
25	IE87719995_00053.xml	28	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22	Siddur_Ashkenaz_clean_concatenated.txt	22	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	12	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	8	MT_NoVoc_concatenated.txt	8
26	IE103402206_00010.xml	11	MT_NoVoc_concatenated.txt	11								
27	IE87234800_00003.xml	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	3	MT_NoVoc_concatenated.txt	1						
28	IE87297122_00014.xml	25	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	2	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	2	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	2	MT_NoVoc_concatenated.txt	2		
29	IE103336373_00043.xml	48	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	16	Siddur_Ashkenaz_clean_concatenated.txt	16	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	16	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	16	MT_NoVoc_concatenated.txt	16
30	IE87744435_00015.xml	29	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	21	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	15	MT_NoVoc_concatenated.txt	10				
31	IE87708411_00021.xml	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22	Siddur_Ashkenaz_clean_concatenated.txt	22	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	22	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	21	MT_NoVoc_concatenated.txt	17
32	IE87502633_00018.xml	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	11	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	11	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	10				
33	IE87705971_00006.xml	19	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	12	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	11	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	10				
34	IE87752740_00038.xml	13	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	13	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	10						
35	IE87752740_00022.xml	13	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	13	Siddur_Ashkenaz_clean_concatenated.txt	13	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	13	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	12		
36	IE87694978_00020.xml	26	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	23	Siddur_Ashkenaz_clean_concatenated.txt	23						
37	IE87555665_00021.xml	14	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6	Siddur_Ashkenaz_clean_concatenated.txt	6						
38	IE87739615_00009.xml	28	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	12	Siddur_Ashkenaz_clean_concatenated.txt	11	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	2	MT_NoVoc_concatenated.txt	2		
39	IE87733114_00008.xml	24	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	23	Siddur_Ashkenaz_clean_concatenated.txt	23						
40	IE87532920_00026.xml	24	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	24	Siddur_Ashkenaz_clean_concatenated.txt	16	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	15	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	15	MT_NoVoc_concatenated.txt	14
41	IE87726132_00023.xml	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22	Siddur_Ashkenaz_clean_concatenated.txt	14	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	14	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	13	MT_NoVoc_concatenated.txt	12
