filename	ocr_lines_in_part	best_GT_1_id	best_GT_1_biggest_cluster_length	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	Siddur_Ashkenaz_clean_concatenated.txt	MT_NoVoc_concatenated.txt	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt
IE108110062_00015.xml	84	MT_NoVoc_concatenated.txt	3			3		
IE87297122_00014.xml	25	MT_NoVoc_concatenated.txt	2	2		2	2	2
IE87752740_00038.xml	13	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	13	8				13
IE103409244_00025.xml	28	MT_NoVoc_concatenated.txt	14			14		
IE87447950_00015.xml	31	MT_NoVoc_concatenated.txt	10	6	8	10	7	8
IE87363222_00008.xml	25	MT_NoVoc_concatenated.txt	14	12	14	14	10	10
IE87508468_00031.xml	18	MT_NoVoc_concatenated.txt	14	12	12	14		
IE87717323_00012.xml	24	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	9	9	9	8	4	9
IE87705971_00006.xml	19	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	12	12			10	10
IE36628376_00046.xml	40	MT_NoVoc_concatenated.txt	14			14		
IE87716931_00014.xml	21	Siddur_Ashkenaz_clean_concatenated.txt	11	10	11		2	5
IE103402206_00010.xml	11	MT_NoVoc_concatenated.txt	11			11		
IE87744435_00039.xml	29	Siddur_Ashkenaz_clean_concatenated.txt	19	18	19	14	18	18
IE87752740_00022.xml	13	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	13	13	13		13	7
IE21442926_00014.xml	66	MT_NoVoc_concatenated.txt	23			23		
IE61220167_00084.xml	19	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	9	8	8		9	9
IE87700963_00014.xml	14	Siddur_Ashkenaz_clean_concatenated.txt	7	7	7	2		2
IE87502633_00044.xml	23	MT_NoVoc_concatenated.txt	18	17	8	18	17	17
IE87744435_00015.xml	29	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	11	7		10	11	
IE87582245_00015.xml	24	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	23	23	23	23	23	23
IE87447950_00011.xml	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6	6			6	6
IE87474895_00044.xml	27	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	27	10	17		27	27
IE87234800_00004.xml	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	8	8		6	8	8
IE87708411_00021.xml	22	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	22	13	22	9	22	22
IE87708411_00019.xml	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	5	5	4		2	2
IE87580382_00008.xml	30	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	5	5		3	5	
IE103402206_00014.xml	19	MT_NoVoc_concatenated.txt	9			9		
IE87705976_00034.xml	18	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	5	3			5	5
IE87610546_00015.xml	17	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	5	5	2	4	5	5
IE87739615_00009.xml	28	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	7	7	6	2		2
IE61220167_00083.xml	19	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	5			2		5
IE87580382_00041.xml	22	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	13	13	13		13	13
IE103336373_00043.xml	48	MT_NoVoc_concatenated.txt	6	6	6	6	4	4
IE87755510_00024.xml	18	Siddur_Ashkenaz_clean_concatenated.txt	16	16	16		12	12
IE87519524_00013.xml	23	Siddur_Ashkenaz_clean_concatenated.txt	10	10	10	3		3
IE87719995_00053.xml	28	Siddur_Ashkenaz_clean_concatenated.txt	15	15	15	7	8	8
IE87581919_00011.xml	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	3	3	3			
IE87476216_00051.xml	23	MT_NoVoc_concatenated.txt	18	4	4	18		
IE87690674_00007.xml	20	Siddur_Ashkenaz_clean_concatenated.txt	10	10	10		1	3
IE87502633_00018.xml	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	5	5			5	5
IE87474895_00014.xml	22	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	4	4			4	2
IE87532920_00026.xml	24	MT_NoVoc_concatenated.txt	24	6	14	24	13	16
IE87675634_00007.xml	26	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	3	3	3	3		
IE87447950_00018.xml	28	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	17	17	17		17	17
IE87705976_00036.xml	20	Siddur_Ashkenaz_clean_concatenated.txt	6	4	6	5	6	6
IE87752740_00019.xml	11	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	11	4	11		11	11
IE87581919_00018.xml	23	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	5	5	4	3	5	4
IE87234800_00003.xml	22	MT_NoVoc_concatenated.txt	3	1		3		
IE87234800_00005.xml	22	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	22	12	9		22	22
IE87675634_00010.xml	30	Siddur_Ashkenaz_clean_concatenated.txt	4	4	4			3
IE61220167_00097.xml	19	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	5		5	3		5
IE87733114_00008.xml	24	Siddur_Ashkenaz_clean_concatenated.txt	23	23	23			
IE87694978_00020.xml	26	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	17	17	17			
IE87555665_00021.xml	14	Siddur_Ashkenaz_clean_concatenated.txt	6	6	6			
IE87733114_00007.xml	27	Siddur_Ashkenaz_clean_concatenated.txt	6	6	6	5	1	
IE87726132_00023.xml	22	MT_NoVoc_concatenated.txt	22	7	12	22	12	12
IE87733114_00006.xml	24	Siddur_Ashkenaz_clean_concatenated.txt	10	10	10	9	1	
IE87581919_00016.xml	23	Siddur_Ashkenaz_clean_concatenated.txt	19	19	19	10	19	19
IE87719995_00046.xml	30	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	8	8	8		8	8
