count	doc_pk	filename	part_pk	title	nb_of_ocr_lines	best_GT_1_id	best_GT_1_aligned_lines_count	best_GT_2_id	best_GT_2_aligned_lines_count	best_GT_3_id	best_GT_3_aligned_lines_count	best_GT_4_id	best_GT_4_aligned_lines_count	best_GT_5_id	best_GT_5_aligned_lines_count	MT_NoVoc_concatenated.txt	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt
1	4381	doc10_Vat.ebr.19_0032_fa_0014v.xml	N/A	N/A	19	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	4	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	3	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	3	MT_NoVoc_concatenated.txt	0			0	3	3	4
2	4381	doc10_Vat.ebr.19_0033_fa_0015r.xml	N/A	N/A	19	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	3	MT_NoVoc_concatenated.txt	2	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	1	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0			2	0	1	3
3	4381	doc10_Vat.ebr.19_0014_fa_0005v.xml	N/A	N/A	19	MT_NoVoc_concatenated.txt	1	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	0	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	0			1	0	0	0
4	4381	doc10_Vat.ebr.19_0028_fa_0012v.xml	N/A	N/A	19	MT_NoVoc_concatenated.txt	3	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	0	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	0			3	0	0	0
5	4381	doc10_Vat.ebr.19_0042_fa_0019v.xml	N/A	N/A	20	MT_NoVoc_concatenated.txt	1	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	0	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	0			1	0	0	0
6	4381	doc10_Vat.ebr.19_0009_fa_0003r.xml	N/A	N/A	20	MT_NoVoc_concatenated.txt	2	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	0	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	0			2	0	0	0
7	4381	doc10_Vat.ebr.19_0010_fa_0003v.xml	N/A	N/A	19	MT_NoVoc_concatenated.txt	5	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	0	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	0			5	0	0	0
8	4381	doc10_Vat.ebr.19_0012_fa_0004v.xml	N/A	N/A	20	MT_NoVoc_concatenated.txt	3	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	0	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	0			3	0	0	0
9	4381	doc10_Vat.ebr.19_0013_fa_0005r.xml	N/A	N/A	20	MT_NoVoc_concatenated.txt	2	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	0	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	0			2	0	0	0
10	4381	doc10_Vat.ebr.19_0019_fa_0008r.xml	N/A	N/A	20	MT_NoVoc_concatenated.txt	4	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	0	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	0			4	0	0	0
